Date,Item Code,Route Code,Customer Code,Sales Quantity,Stales Quantity
01-01-2022,ITEM09,ROUTE17,CUST269,456,0
01-01-2022,ITEM02,ROUTE12,CUST269,233,32
01-01-2022,ITEM03,ROUTE19,CUST269,560,138
01-01-2022,ITEM04,ROUTE08,CUST074,161,30
01-01-2022,ITEM08,ROUTE04,CUST290,298,36
01-01-2022,ITEM10,ROUTE10,CUST290,446,0
01-01-2022,ITEM08,ROUTE13,CUST156,361,0
01-01-2022,ITEM02,ROUTE04,CUST105,526,69
01-01-2022,ITEM09,ROUTE04,CUST281,113,19
01-01-2022,ITEM08,ROUTE11,CUST393,321,0
01-01-2022,ITEM03,ROUTE18,CUST125,359,0
01-01-2022,ITEM09,ROUTE05,CUST125,562,101
01-01-2022,ITEM10,ROUTE19,CUST069,469,0
01-01-2022,ITEM04,ROUTE20,CUST245,413,0
01-01-2022,ITEM08,ROUTE03,CUST245,470,0
01-01-2022,ITEM03,ROUTE13,CUST010,340,0
01-01-2022,ITEM06,ROUTE17,CUST196,57,0
01-01-2022,ITEM10,ROUTE16,CUST305,399,0
01-01-2022,ITEM05,ROUTE08,CUST305,149,23
01-01-2022,ITEM10,ROUTE20,CUST085,244,0
01-01-2022,ITEM06,ROUTE03,CUST085,355,0
01-01-2022,ITEM07,ROUTE01,CUST374,475,0
01-01-2022,ITEM08,ROUTE09,CUST391,126,19
01-01-2022,ITEM02,ROUTE05,CUST498,286,38
01-01-2022,ITEM04,ROUTE14,CUST498,373,62
01-01-2022,ITEM10,ROUTE04,CUST498,569,0
01-01-2022,ITEM01,ROUTE01,CUST031,122,0
01-01-2022,ITEM04,ROUTE17,CUST031,159,0
01-01-2022,ITEM01,ROUTE02,CUST318,370,0
01-01-2022,ITEM07,ROUTE19,CUST408,153,30
01-01-2022,ITEM05,ROUTE17,CUST408,419,75
01-01-2022,ITEM03,ROUTE05,CUST408,87,19
01-01-2022,ITEM02,ROUTE03,CUST493,217,0
01-01-2022,ITEM06,ROUTE19,CUST493,510,0
01-01-2022,ITEM08,ROUTE02,CUST494,482,0
01-01-2022,ITEM03,ROUTE09,CUST494,370,77
01-01-2022,ITEM07,ROUTE15,CUST226,333,45
01-01-2022,ITEM10,ROUTE14,CUST226,288,36
01-01-2022,ITEM05,ROUTE19,CUST226,60,10
01-01-2022,ITEM07,ROUTE17,CUST228,233,0
01-01-2022,ITEM09,ROUTE17,CUST228,64,10
01-01-2022,ITEM10,ROUTE03,CUST228,281,32
01-01-2022,ITEM10,ROUTE06,CUST077,242,28
01-01-2022,ITEM05,ROUTE13,CUST077,2936,729
01-01-2022,ITEM08,ROUTE06,CUST077,106,21
01-01-2022,ITEM04,ROUTE06,CUST464,382,0
01-01-2022,ITEM02,ROUTE15,CUST464,217,0
01-01-2022,ITEM10,ROUTE06,CUST464,546,69
01-01-2022,ITEM01,ROUTE01,CUST473,61,15
01-01-2022,ITEM07,ROUTE14,CUST473,308,69
01-01-2022,ITEM09,ROUTE04,CUST473,386,0
01-01-2022,ITEM06,ROUTE01,CUST403,394,58
01-01-2022,ITEM03,ROUTE11,CUST403,442,0
01-01-2022,ITEM03,ROUTE11,CUST102,164,21
01-01-2022,ITEM08,ROUTE01,CUST102,375,0
01-01-2022,ITEM02,ROUTE19,CUST336,450,110
01-01-2022,ITEM05,ROUTE15,CUST297,190,0
01-01-2022,ITEM01,ROUTE10,CUST223,430,0
